timestamp,open,high,low,close,volume
2023-04-13,141.0,155.1,141.0,155.1,460
2023-04-16,158.2,170.6,158.2,170.6,490
2023-04-17,174.0,187.6,174.0,187.6,313
2023-04-18,186.0,206.3,186.0,206.3,10126
2023-04-19,210.4,226.9,210.4,226.9,1483
2023-04-20,231.4,249.5,231.4,249.5,1839
2023-04-23,254.4,274.4,239.8,254.0,120512
2023-04-24,259.0,259.0,235.5,239.0,52538
2023-04-25,235.0,251.7,235.0,246.0,20790
2023-04-26,241.3,251.5,237.0,250.0,17748
2023-04-27,246.0,246.5,241.5,242.8,14715
2023-04-30,238.3,241.0,230.0,232.0,23631
2023-05-02,232.0,234.6,222.3,225.0,14972
2023-05-03,225.0,225.0,218.0,220.0,8519
2023-05-04,217.0,229.5,217.0,227.9,8573
2023-05-07,232.4,232.4,216.5,219.0,8520
2023-05-08,214.8,220.0,212.0,213.5,14386
2023-05-09,212.0,224.0,211.0,216.0,8320
2023-05-10,220.0,220.0,214.1,218.0,4895
2023-05-11,222.3,235.0,213.0,216.0,5733
2023-05-14,220.0,220.0,209.2,210.9,7205
2023-05-15,207.0,212.0,206.0,210.0,17348
2023-05-16,205.8,213.0,205.8,210.0,5545
2023-05-17,206.0,215.0,206.0,213.9,8941
2023-05-18,212.5,228.9,210.5,224.0,28558
2023-05-21,227.9,232.0,217.8,220.1,24657
2023-05-22,215.7,225.0,212.1,222.0,12147
2023-05-23,218.0,234.1,218.0,234.1,37997
2023-05-24,235.0,236.0,226.4,230.0,13414
2023-05-28,230.0,234.0,225.0,225.4,33586
2023-05-30,221.1,223.3,213.0,215.3,13389
2023-05-31,212.0,218.0,209.0,210.0,17134
2023-06-01,210.1,217.5,209.0,217.0,9983
2023-06-04,213.0,228.0,211.0,225.0,16071
2023-06-05,220.7,229.5,217.0,219.0,7931
2023-06-06,215.4,228.0,215.4,226.0,12875
2023-06-07,230.0,240.7,226.0,236.0,50252
2023-06-08,231.5,244.0,231.5,238.0,22198
2023-06-11,234.0,246.6,234.0,246.0,29258
2023-06-12,250.9,255.0,236.9,242.9,28687
2023-06-13,238.2,249.7,235.7,248.0,29852
2023-06-14,243.1,250.9,234.5,235.5,33273
2023-06-15,231.1,240.0,231.1,238.0,26485
2023-06-18,234.0,246.8,230.0,246.8,34491
2023-06-19,251.7,251.7,237.7,239.0,17448
2023-06-20,243.0,243.7,233.8,236.0,15302
2023-06-21,239.9,239.9,226.4,228.1,14961
2023-06-22,225.0,230.4,221.9,226.0,12510
2023-06-25,226.0,229.5,213.5,229.5,38034
2023-06-26,225.3,241.0,217.6,217.6,23371
2023-06-27,214.0,227.4,214.0,223.0,14269
2023-06-28,223.0,227.0,216.0,220.5,21048
2023-07-02,221.0,221.0,213.7,219.0,13826
2023-07-03,215.1,220.0,212.1,217.0,12637
2023-07-04,220.0,220.0,212.1,216.8,10030
2023-07-05,213.1,219.0,210.2,211.0,13060
2023-07-06,210.0,214.5,206.2,210.0,15308
2023-07-09,206.6,216.0,206.6,212.0,10454
2023-07-10,212.0,216.2,208.0,212.0,11629
2023-07-11,207.9,209.9,206.3,208.0,5197
2023-07-12,203.9,225.0,201.0,218.0,19055
2023-07-13,222.3,223.3,212.0,214.0,8373
2023-07-16,218.2,218.2,209.0,209.4,6208
2023-07-17,205.6,218.2,205.6,214.0,7510
2023-07-18,210.0,215.0,207.8,210.0,8880
2023-07-19,206.1,211.0,206.1,210.0,11862
2023-07-20,210.0,221.2,207.6,214.0,9102
