timestamp,open,high,low,close,volume
2020-09-20,233.33,253.33,213.33,213.33,104308
2020-09-21,204.67,204.67,195.33,195.33,44405
2020-09-22,192.67,192.67,179.33,179.33,20625
2020-09-23,176.67,186.0,165.33,178.67,125652
2020-09-24,176.67,187.33,174.0,182.0,51690
2020-09-27,180.67,184.0,176.67,177.33,31570
2020-09-28,176.67,176.67,170.67,172.67,24911
2020-09-29,171.33,176.67,166.67,172.0,48410
2020-09-30,169.33,176.67,166.67,173.33,34150
2020-10-01,170.0,178.67,168.67,169.33,28932
2020-10-04,169.33,169.33,164.67,166.67,31338
2020-10-05,166.67,169.33,162.67,168.67,26919
2020-10-06,166.0,180.67,166.0,180.67,31959
2020-10-07,180.67,193.33,174.0,191.33,67383
2020-10-08,189.33,193.33,180.0,180.67,65555
2020-10-11,178.0,183.33,172.67,178.0,24434
2020-10-12,175.33,176.67,172.67,176.0,21884
2020-10-13,174.67,175.33,170.67,172.0,21310
2020-10-14,172.0,172.0,167.33,168.0,18425
2020-10-15,170.67,174.0,166.67,169.33,15355
2020-10-18,166.67,170.0,166.67,168.67,6480
2020-10-19,166.0,171.33,166.0,171.33,7190
2020-10-20,168.67,176.67,168.67,171.33,19670
2020-10-21,170.0,172.0,169.33,172.0,6045
2020-10-22,169.33,173.33,168.0,172.0,7775
2020-10-28,173.33,173.33,168.0,170.67,8050
2020-10-29,168.67,172.67,168.67,170.0,11183
2020-11-01,167.33,171.33,167.33,169.33,16955
2020-11-02,166.67,171.33,166.67,169.33,7080
2020-11-03,173.33,173.33,168.67,170.67,10115
2020-11-04,164.0,173.33,164.0,172.0,7018
2020-11-05,172.67,174.67,168.67,174.67,25497
2020-11-08,172.67,180.0,172.67,178.0,34970
2020-11-09,180.0,180.67,174.67,175.33,24572
2020-11-10,176.67,176.67,174.0,174.0,14990
2020-11-11,176.0,176.0,171.33,173.33,11710
2020-11-12,172.67,174.67,171.33,172.67,5470
2020-11-18,170.0,172.0,170.0,170.67,17345
2020-11-19,170.67,175.33,169.33,172.67,21285
2020-11-22,172.67,175.33,169.33,170.0,20990
2020-11-23,170.0,170.67,167.33,170.0,24135
2020-11-24,168.67,174.67,168.67,170.67,17360
2020-11-25,170.0,182.0,169.33,170.67,14660
2020-11-26,169.33,172.67,169.33,170.67,13760
2020-11-29,170.0,172.0,168.67,171.33,28977
2020-11-30,170.67,176.67,170.67,176.67,21701
2020-12-01,173.33,182.0,172.67,177.33,26536
2020-12-02,180.0,184.0,174.0,181.33,67421
2020-12-03,178.67,186.67,178.67,183.33,67823
2020-12-06,180.67,184.0,172.67,173.33,25052
2020-12-07,173.33,182.0,172.0,178.0,15265
2020-12-08,176.67,184.67,175.33,175.33,19720
2020-12-09,178.0,187.33,173.33,180.0,39063
2020-12-10,178.67,194.67,178.67,194.67,113061
2020-12-13,202.67,206.67,191.33,194.67,53662
2020-12-14,194.67,196.0,184.0,185.33,39121
2020-12-15,178.0,192.0,178.0,186.0,34220
2020-12-16,183.33,194.0,182.0,184.0,15920
