timestamp,open,high,low,close,volume
2026-06-22,309.0,345.0,309.0,345.0,140
2026-06-23,355.3,396.7,355.3,396.7,120
2026-06-24,408.6,456.2,408.6,456.2,190
2026-06-25,469.3,524.6,469.3,524.6,200
2026-06-26,540.3,603.2,540.3,603.2,350
2026-06-29,621.2,693.6,621.2,693.6,1150
2026-06-30,750.0,797.6,622.0,636.5,129250
2026-07-01,636.0,718.0,602.0,689.0,53491
2026-07-02,692.4,700.0,651.0,663.2,35070
2026-07-03,660.0,660.0,640.0,640.0,36650
2026-07-06,640.0,640.0,605.0,606.5,40245
2026-07-07,600.0,616.1,591.1,595.0,34422
2026-07-08,590.0,590.0,562.0,564.2,36973
2026-07-09,562.0,562.0,541.6,552.0,24730
2026-07-10,545.0,593.8,545.0,584.0,27399
2026-07-13,584.0,584.0,555.2,556.1,16850
2026-07-14,555.0,567.0,545.0,555.0,19747
2026-07-15,555.0,568.0,552.0,558.0,15696
2026-07-16,546.1,566.0,546.1,556.0,17544
2026-07-17,550.0,592.0,550.0,588.1,22304
2026-07-20,588.0,623.0,576.0,623.0,31396
2026-07-21,623.0,667.0,612.0,630.0,46790
2026-07-22,620.7,650.0,620.7,633.3,33068
2026-07-23,620.3,665.0,616.9,660.0,42420
2026-07-24,671.0,681.0,643.2,655.0,40127
2026-07-27,640.1,660.0,606.1,615.0,39992
2026-07-28,626.4,649.8,593.1,642.0,56073
2026-07-29,637.8,665.0,637.8,650.0,50496
2026-07-30,650.0,661.0,630.1,645.0,35977
2026-07-31,635.0,654.7,622.3,644.0,28063
2026-08-03,644.0,655.0,630.0,636.1,31529
2026-08-04,627.1,635.0,615.0,617.0,24091
2026-08-05,602.0,650.0,602.0,639.6,21179
2026-08-06,639.6,670.0,617.1,639.7,47920
2026-08-07,639.7,649.0,615.0,621.8,26605
2026-08-10,620.0,639.0,612.1,624.0,17066
2026-08-11,620.0,634.8,617.5,625.0,18870
2026-08-12,612.0,630.0,612.0,626.0,22832
2026-08-13,620.0,630.0,618.0,623.0,13280
2026-08-14,615.0,633.0,615.0,623.0,17131
2026-08-17,620.0,670.0,600.0,637.0,49721
2026-08-18,635.1,660.0,630.1,637.0,41470
2026-08-19,636.0,659.0,628.0,634.7,13126
2026-08-20,632.0,634.0,623.1,625.0,16310
2026-08-21,616.0,625.1,610.0,614.5,22153
2026-08-24,625.0,625.0,584.1,600.0,23049
2026-08-25,587.1,606.0,580.0,586.0,16145
2026-08-26,570.1,594.0,558.4,589.9,21969
2026-08-27,575.0,593.9,561.5,593.9,9782
2026-08-31,580.0,580.0,560.0,571.0,12681
2026-09-01,560.0,583.9,555.1,569.0,14180
