timestamp,open,high,low,close,volume
2022-08-17,324.6,357.0,324.6,357.0,3870
2022-08-18,364.1,392.7,364.1,392.7,84038
2022-08-21,400.5,431.9,390.1,393.0,41125
2022-08-22,393.0,399.9,376.1,388.6,41656
2022-08-23,396.3,399.8,375.4,388.5,22730
2022-08-24,381.1,414.0,381.0,404.0,36702
2022-08-25,398.0,412.0,392.0,392.0,20925
2022-08-26,387.0,389.3,378.4,389.3,18080
2022-08-28,381.6,383.0,366.0,366.0,19565
2022-08-29,359.0,365.1,350.0,364.0,13689
2022-08-30,365.0,370.0,348.0,360.0,11010
2022-08-31,354.1,356.0,337.0,341.2,11524
2022-09-01,341.2,365.0,330.3,353.0,10075
2022-09-02,347.0,350.0,341.1,349.0,2950
2022-09-04,343.0,356.6,343.0,356.6,7960
2022-09-05,351.5,379.6,351.5,367.0,20600
2022-09-06,359.8,364.0,350.7,351.1,8932
2022-09-07,345.1,351.1,338.7,342.0,9665
2022-09-08,337.1,351.0,337.1,351.0,11722
2022-09-11,357.0,357.0,338.0,340.0,5910
2022-09-12,346.0,352.0,332.0,334.0,8172
2022-09-13,330.5,344.0,330.5,332.6,5865
2022-09-14,330.1,345.0,330.1,345.0,14960
2022-09-15,345.0,345.0,320.4,321.0,17340
2022-09-16,315.0,318.0,303.0,304.0,9714
2022-09-18,303.9,307.0,290.0,298.8,9924
2022-09-20,295.0,295.0,277.5,279.2,10805
2022-09-21,278.0,289.0,273.8,289.0,7601
2022-09-22,285.0,292.8,268.4,280.0,7763
2022-09-25,274.5,275.0,265.0,270.0,3945
2022-09-27,264.9,278.0,261.2,274.4,2299
2022-09-28,269.0,280.5,263.7,279.0,1644
2022-09-29,282.0,285.0,271.0,285.0,1590
2022-10-09,280.0,285.6,275.0,283.0,2832
2022-10-10,288.0,288.0,266.3,270.0,1512
2022-10-11,265.1,269.9,261.1,267.0,970
2022-10-12,265.0,281.2,259.0,268.0,3199
2022-10-13,265.0,270.0,260.7,267.0,4101
2022-10-16,268.0,272.0,259.0,264.0,2171
2022-10-17,260.0,269.2,254.8,265.0,4809
2022-10-19,262.0,270.3,251.3,270.3,6295
2022-10-20,275.0,275.0,250.1,258.0,1650
2022-10-23,253.0,263.0,250.0,261.0,4325
2022-10-31,255.9,261.0,246.4,261.0,1530
2022-11-01,256.0,274.0,251.0,271.9,8855
2022-11-02,270.0,275.4,261.5,273.5,11905
2022-11-03,268.1,277.0,262.8,270.0,3853
2022-11-06,267.1,280.0,267.1,277.0,6435
2022-11-07,271.5,282.0,265.1,268.0,8230
2022-11-08,265.2,271.0,265.0,270.0,4120
2022-11-09,270.0,270.0,256.0,260.0,5175
2022-11-10,256.1,260.0,247.3,251.8,7130
2022-11-13,247.0,255.0,243.0,244.9,2961
2022-11-14,246.5,254.9,240.2,250.0,2645
2022-11-15,245.0,250.0,237.0,241.7,7570
