timestamp,open,high,low,close,volume
2019-08-06,307.17,312.48,276.45,277.41,11686
2019-08-07,263.59,263.59,249.78,249.78,2070
2019-08-08,245.53,262.53,225.33,238.09,226165
2019-08-11,233.84,247.66,231.72,247.66,124216
2019-08-12,247.65,247.65,241.27,242.33,64760
2019-08-13,240.2,244.45,239.14,239.14,42565
2019-08-14,238.08,241.27,235.95,235.95,44230
2019-08-15,233.83,240.21,233.83,235.95,23050
2019-08-18,237.02,239.15,230.65,230.65,42847
2019-08-19,230.64,242.33,226.39,235.95,37300
2019-08-20,235.96,235.96,229.58,230.64,34270
2019-08-21,231.7,235.96,229.58,230.64,20900
2019-08-22,229.58,232.77,229.58,230.64,19505
2019-08-25,230.65,230.65,223.21,227.46,29840
2019-08-26,224.27,226.39,218.95,218.95,32565
2019-08-27,218.96,227.46,213.65,222.15,18681
2019-08-28,221.08,224.26,217.89,218.95,12359
2019-08-29,218.94,221.07,215.75,215.75,16538
2019-09-01,215.76,215.76,200.88,201.94,34280
2019-09-02,199.82,204.08,196.64,199.82,24421
2019-09-03,201.96,206.21,191.33,203.02,31610
2019-09-04,206.2,206.2,198.76,204.08,22253
2019-09-05,204.08,208.33,199.83,201.96,21245
2019-09-08,201.95,203.01,195.57,195.57,10870
2019-09-09,197.7,200.89,191.32,192.39,16670
2019-09-10,192.39,193.45,183.88,188.13,26971
2019-09-11,188.13,191.32,186.01,188.13,11801
2019-09-12,188.13,188.13,183.88,183.88,13435
2019-09-15,183.88,184.95,173.25,178.57,30110
2019-09-16,175.37,181.75,173.24,177.5,16910
2019-09-17,177.5,189.19,174.31,189.19,48995
2019-09-18,189.2,194.51,183.88,193.45,47604
2019-09-19,194.51,194.51,184.94,186.0,26918
2019-09-22,186.01,187.07,175.38,176.44,21650
2019-09-23,176.45,180.7,174.32,174.32,11060
2019-09-24,174.33,176.45,173.26,176.45,7500
2019-09-26,174.3,178.6,174.3,176.45,14685
2019-09-29,174.3,180.75,174.3,175.37,11170
2019-09-30,175.37,185.06,173.22,185.06,7190
2019-10-01,177.65,180.82,175.53,179.76,9170
2019-10-02,181.87,181.87,175.53,178.7,4870
2019-10-03,180.82,180.82,177.65,178.7,10135
2019-10-10,178.7,179.76,176.58,179.76,1190
2019-10-14,176.58,179.75,176.58,177.64,4210
2019-10-15,177.63,179.75,175.52,179.75,3010
2019-10-16,179.75,180.8,177.63,178.69,7550
2019-10-17,178.69,179.74,177.63,179.74,5016
2019-10-20,179.74,179.74,175.51,179.74,6485
2019-10-21,180.81,180.81,175.52,176.58,5490
2019-10-22,176.59,186.1,174.47,179.76,11250
2019-10-23,179.76,188.22,177.64,186.1,9410
2019-10-24,187.16,190.33,181.87,186.1,13375
2019-10-31,185.05,188.22,181.88,181.88,5557
2019-11-03,182.93,182.93,176.59,176.59,8860
2019-11-04,178.71,180.82,176.59,180.82,7155
2019-11-05,177.66,179.78,176.6,177.66,5800
2019-11-06,175.55,177.66,175.55,177.66,7960
2019-11-07,177.65,177.65,174.48,174.48,6310
2019-11-10,179.76,179.76,170.25,176.59,27650
2019-11-11,176.59,179.77,171.31,177.65,14090
2019-11-12,174.48,179.77,171.31,173.42,5830
2019-11-13,172.37,175.54,171.31,173.42,9030
2019-11-14,173.42,174.48,171.31,174.48,9490
2019-11-17,174.49,174.49,169.2,170.26,25505
2019-11-18,169.21,169.21,166.04,166.04,12501
2019-11-19,169.21,169.21,166.04,166.04,10900
2019-11-20,166.04,171.32,164.98,166.04,14129
2019-11-21,166.03,168.15,161.8,164.97,11525
2019-11-24,166.03,166.03,161.8,163.92,4198
2019-11-25,162.86,170.26,160.75,161.8,8200
2019-11-26,161.8,167.09,161.8,161.8,3290
2019-11-27,161.8,167.08,160.74,162.85,7536
2019-11-28,163.91,164.97,161.8,161.8,4560
2019-11-28,162.85,163.9,160.74,160.74,4560
2019-12-01,160.75,163.9,159.7,159.7,4670
2019-12-02,161.81,162.86,159.71,161.81,6855
2019-12-03,162.86,166.01,159.71,163.91,17288
2019-12-04,163.91,168.11,161.81,166.01,15530
2019-12-05,166.0,167.05,164.95,167.05,6396
2019-12-08,167.05,167.05,162.85,166.0,4675
2019-12-09,164.95,173.35,163.9,167.05,18532
2019-12-10,170.2,172.3,166.0,167.05,9841
2019-12-11,166.0,172.3,166.0,169.15,7739
2019-12-12,169.15,180.7,168.1,172.3,17220
2019-12-15,170.2,174.4,169.15,170.2,3740
2019-12-16,167.03,171.26,167.03,168.09,7002
2019-12-17,165.97,170.2,165.97,168.09,7050
2019-12-18,169.14,169.14,165.97,168.09,3970
2019-12-19,168.09,169.14,165.97,168.09,7430
2019-12-22,171.25,171.25,164.91,165.97,3441
2019-12-23,167.03,170.2,167.03,170.2,12075
2019-12-24,171.26,171.26,168.09,168.09,7450
2019-12-25,168.09,169.15,163.86,167.03,17919
2019-12-26,163.85,167.02,163.85,164.91,4210
2019-12-29,165.97,165.97,163.85,163.85,7130
2019-12-30,164.91,164.91,162.8,163.85,4390
2019-12-31,163.85,165.97,163.85,163.85,5275
2020-01-01,163.85,167.03,163.85,163.85,5750
2020-01-02,163.85,167.02,162.79,162.79,7730
2020-01-05,161.73,167.02,161.73,164.91,13555
2020-01-06,164.9,169.13,164.9,165.96,8065
2020-01-07,169.14,172.31,165.97,170.19,30351
2020-01-08,163.85,174.42,163.85,169.14,8622
2020-01-09,163.85,171.25,163.85,171.25,11165
2020-01-12,168.09,174.43,168.09,172.31,14376
2020-01-13,175.5,187.2,172.31,178.69,52225
2020-01-14,181.88,181.88,174.44,174.44,14062
2020-01-15,175.5,179.76,173.37,175.5,15530
2020-01-16,175.51,179.76,175.51,176.57,19150
2020-01-19,177.64,186.15,176.57,180.83,33706
2020-01-20,179.76,184.02,174.44,174.44,16290
2020-01-21,173.38,177.63,172.32,173.38,12648
2020-01-22,173.38,174.44,170.19,170.19,11250
2020-01-23,169.13,170.2,164.88,164.88,17300
2020-01-26,168.08,168.08,162.76,165.95,4880
2020-01-27,164.9,171.16,161.77,171.16,4780
2020-01-28,168.03,171.16,163.85,165.94,8022
2020-01-29,163.85,168.03,163.85,163.85,9312
2020-01-30,161.76,165.94,161.76,163.85,10140
2020-02-02,163.85,164.89,161.76,162.8,11565
2020-02-03,162.81,173.24,162.81,169.07,24065
2020-02-04,168.03,175.34,164.9,166.99,22661
2020-02-05,164.91,168.04,164.91,165.96,5790
2020-02-06,163.87,168.04,163.87,165.96,5660
2020-02-09,167.01,167.01,160.74,160.74,18586
2020-02-10,162.83,163.88,161.79,162.83,17834
2020-02-11,161.79,168.05,161.79,165.96,9244
2020-02-12,165.95,167.0,162.82,162.82,13725
2020-02-13,161.78,164.91,161.78,161.78,8976
2020-02-16,160.74,163.87,160.74,163.87,6805
2020-02-17,162.82,168.04,162.82,165.95,12580
2020-02-18,164.9,166.99,163.86,164.9,9270
2020-02-19,162.81,165.95,160.73,161.77,11525
2020-02-23,164.84,167.91,159.72,161.77,29445
2020-02-24,161.77,168.94,162.8,164.84,18885
2020-02-25,161.77,168.93,161.77,168.93,25630
2020-02-26,170.99,172.01,166.89,169.96,32051
2020-02-27,169.97,172.02,164.85,167.92,11284
2020-03-01,167.92,168.95,161.78,162.8,17030
2020-03-02,159.72,163.82,158.7,158.7,6115
2020-03-03,158.71,161.78,155.64,159.73,16114
2020-03-04,156.66,162.8,156.66,159.73,21815
2020-03-05,159.74,159.74,155.64,156.66,10223
2020-03-10,155.64,156.66,146.42,151.54,6260
2020-03-11,153.59,158.71,150.52,156.66,17032
2020-03-12,153.59,156.66,150.52,151.54,13645
2020-03-15,145.39,152.56,145.39,150.51,10170
2020-03-16,144.37,153.58,144.37,152.56,10865
2020-03-17,150.5,150.5,146.41,146.41,11763
2020-03-18,144.36,146.41,142.31,144.36,7581
2020-03-19,144.36,147.43,142.31,143.33,4420
2020-03-22,145.38,145.38,144.35,144.35,500
2020-05-12,142.3,142.3,140.25,140.25,230
2020-06-29,136.03,136.03,125.95,127.97,3241
2020-06-30,126.96,130.99,125.95,130.99,840
2020-07-01,133.01,135.02,130.99,135.02,470
2020-07-02,136.03,139.05,133.01,133.01,4980
2020-07-05,131.0,134.02,128.98,129.99,3852
2020-07-06,127.97,135.03,125.96,132.0,6770
2020-07-07,129.99,141.07,129.99,141.07,8776
2020-07-08,139.06,140.07,135.03,140.07,9740
2020-07-09,138.06,140.07,132.01,140.07,7620
2020-07-12,138.05,142.09,136.04,138.05,9304
2020-07-13,136.04,141.08,135.03,139.06,11200
2020-07-14,141.08,141.08,133.02,136.04,19700
2020-07-15,134.03,138.06,134.03,135.04,4140
2020-07-16,134.04,141.09,134.04,136.05,6300
2020-07-19,138.06,140.08,138.06,140.08,20
2020-07-20,146.13,153.18,135.04,142.09,11292
2020-07-21,140.07,141.08,134.03,137.05,9370
2020-07-22,143.09,143.09,134.02,136.04,9078
2020-07-23,135.02,141.07,134.02,141.07,15700
2020-07-26,139.06,141.07,135.03,138.05,7620
2020-07-27,140.07,140.07,135.03,135.03,9970
2020-07-28,133.04,137.01,130.06,133.04,15850
2020-07-29,131.05,136.02,131.05,135.02,9720
2020-07-30,133.03,140.98,132.04,134.03,14710
2020-08-02,132.04,138.99,132.04,132.04,21435
2020-08-03,130.05,135.02,130.05,134.02,7389
2020-08-05,132.04,136.01,130.05,136.01,6175
2020-08-06,136.0,137.0,132.0,135.0,8410
2020-08-09,133.0,138.0,132.0,136.0,13020
2020-08-10,134.0,140.0,133.0,139.0,10534
2020-08-11,137.0,141.0,134.0,139.0,10865
2020-08-12,137.0,143.0,137.0,137.0,8150
2020-08-13,135.0,139.0,133.0,137.0,9490
2020-08-16,135.0,135.0,131.0,134.0,10739
2020-08-17,132.0,135.0,132.0,134.0,8880
2020-08-18,133.0,135.0,132.0,134.0,8570
2020-08-19,132.0,138.0,131.0,133.0,4005
2020-08-20,132.0,137.0,132.0,137.0,8106
2020-08-23,135.0,135.0,132.0,134.0,10240
2020-08-24,134.01,137.01,132.01,135.01,5590
2020-08-25,137.01,137.01,135.01,135.01,13955
2020-08-26,129.0,139.0,129.0,137.0,10140
2020-08-27,139.0,141.0,136.0,137.0,7020
2020-08-30,137.0,139.0,135.0,137.0,5580
2020-08-31,139.0,150.0,137.0,143.0,26256
2020-09-02,150.0,157.0,142.0,156.0,82268
2020-09-03,163.0,163.0,148.0,150.0,43192
2020-09-06,152.99,155.99,141.99,145.99,26510
2020-09-07,144.0,151.0,143.0,145.0,12775
2020-09-08,143.0,149.0,140.0,145.0,10915
2020-09-09,143.0,148.0,141.0,145.0,6330
2020-09-10,143.0,157.0,143.0,148.0,11390
2020-09-13,148.01,162.01,146.01,158.01,32338
2020-09-14,155.0,166.0,152.0,159.0,37189
2020-09-15,159.99,159.99,153.99,154.99,16808
2020-09-16,152.99,168.99,148.99,162.99,27335
2020-09-17,171.0,179.0,158.0,179.0,91297
2020-09-20,187.0,190.0,163.0,165.0,30550
2020-09-21,165.01,176.01,161.01,166.01,39395
2020-09-22,174.01,174.01,160.01,165.01,42390
2020-09-23,173.01,173.01,162.01,173.01,36368
2020-09-24,170.01,190.01,167.01,186.01,133500
2020-09-27,183.01,190.01,178.01,179.01,63514
2020-09-28,187.02,187.02,173.02,174.02,13332
2020-09-29,171.01,188.01,171.01,179.01,29783
2020-09-30,176.02,185.02,176.02,181.02,41564
2020-10-01,178.02,181.02,172.02,173.02,74433
2020-10-04,170.02,176.02,170.02,175.02,20765
2020-10-05,172.03,181.03,170.03,173.03,31644
2020-10-06,175.03,190.04,172.03,190.04,112486
2020-10-07,195.04,209.04,193.04,209.04,189917
2020-10-08,207.05,222.05,198.04,204.05,91531
2020-10-11,201.05,206.05,190.04,198.05,51699
2020-10-12,200.04,200.04,189.04,189.04,42870
2020-10-13,189.03,198.03,184.03,186.03,35227
2020-10-14,187.03,190.03,181.03,187.03,21728
2020-10-15,187.03,196.03,185.03,190.03,18863
