timestamp,open,high,low,close,volume
2012-01-23,107.91,106.42,106.42,106.42,220
2012-02-08,106.42,104.94,103.46,103.46,827
2012-02-26,103.46,101.97,96.04,96.04,531
2012-02-27,96.04,94.85,91.29,91.29,438
2012-06-05,91.29,91.29,91.29,91.29,168
2012-09-19,91.29,90.1,90.1,90.1,30
2012-09-20,90.1,88.91,88.91,88.91,19
2012-09-23,88.91,87.73,85.35,85.35,455
2014-05-22,85.35,89.51,85.06,85.06,1336
2014-05-25,85.06,85.95,81.79,81.79,1237
2014-05-26,81.79,80.9,77.04,78.53,6328
2014-05-27,78.53,80.9,79.42,80.01,703
2014-05-28,80.01,80.01,77.64,80.01,6789
2014-06-01,80.01,82.68,80.9,81.79,604
2014-06-02,81.79,84.46,82.39,82.68,2548
2014-06-03,82.68,82.68,80.9,82.39,748
2014-06-12,82.39,81.5,81.5,81.5,127
2014-06-24,81.5,80.9,80.61,80.9,197
2014-06-25,80.9,81.5,75.56,75.56,5734
2014-06-26,75.56,79.12,75.56,79.12,4035
2014-06-29,79.12,82.39,80.01,80.9,1713
2014-06-30,80.9,80.01,75.56,75.56,17267
2014-07-01,75.56,79.42,76.45,77.34,16725
2014-07-02,77.34,80.31,78.23,80.01,13556
2014-07-03,85.35,81.11,78.17,78.17,1564
2014-07-06,78.17,78.17,78.17,78.17,681
2014-07-07,78.17,81.11,79.15,81.11,150
2014-07-08,81.11,84.05,82.09,84.05,1094
2014-07-09,84.05,83.07,83.07,83.07,108
2014-07-16,83.07,88.62,84.05,88.62,1492
2014-07-17,88.62,94.82,87.97,94.82,2559
2014-07-20,94.82,101.35,96.13,101.35,2551
2014-07-21,101.35,108.53,102.66,108.53,3822
2014-07-22,108.53,113.43,110.16,113.43,1852
2014-07-23,113.43,111.8,108.2,108.2,460
2014-07-24,108.2,106.9,106.57,106.9,1166
2014-07-27,106.9,105.59,105.59,105.59,800
2014-08-07,105.59,104.29,102.98,102.98,74
2014-08-13,102.98,101.68,100.37,100.37,100
2014-08-14,100.37,99.06,99.06,99.06,40
2014-08-18,99.06,97.76,97.76,97.76,20
2014-08-19,97.76,96.45,95.15,95.15,40
2014-08-20,95.15,93.84,91.23,91.23,65
2014-08-24,91.23,90.25,89.27,89.27,80
2014-08-25,89.27,88.29,87.31,87.31,70
2014-08-26,87.31,86.33,85.35,85.35,80
2014-08-28,85.35,84.37,81.44,81.44,1460
2014-08-31,81.44,80.46,76.54,76.54,1350
2014-09-01,76.54,75.56,73.28,73.28,2548
2014-09-03,73.28,77.85,72.62,77.85,4221
2014-09-04,77.85,78.82,75.89,76.87,2591
2014-09-07,76.87,75.89,73.6,73.6,519
2014-09-09,73.6,74.91,72.95,74.25,1487
2014-09-10,74.25,74.91,73.93,74.91,1221
2014-09-11,74.91,74.91,74.91,74.91,87
2014-09-14,74.91,74.91,74.25,74.25,727
2014-09-15,74.25,74.25,73.6,74.25,770
2014-09-17,74.25,73.93,73.93,73.93,50
2014-09-21,72.95,72.3,72.3,72.3,200
2014-09-23,72.3,71.64,71.64,71.64,259
2014-09-24,71.64,71.64,70.99,71.64,2579
2014-09-28,71.64,71.64,70.99,71.64,1018
2014-09-29,71.64,72.95,72.3,72.95,1333
2014-09-30,72.95,75.56,73.6,75.56,370
2014-10-09,75.56,74.58,74.25,74.25,500
2014-10-15,74.25,74.91,74.91,74.91,100
2014-10-16,74.91,76.54,75.56,76.54,286
2014-10-19,76.54,75.56,75.56,75.56,200
2014-10-27,75.56,76.54,76.54,76.54,684
2014-11-03,76.54,78.17,77.19,77.19,823
2014-11-05,77.19,76.21,76.21,76.21,500
2014-11-06,76.21,77.19,77.19,77.19,296
2014-11-10,77.19,76.21,73.28,73.28,3292
2014-11-11,73.28,72.95,71.64,71.64,869
2014-11-13,71.64,72.3,71.97,71.97,80
2014-11-16,71.97,71.32,71.32,71.32,10
2014-11-19,71.32,70.66,70.01,70.01,1286
2014-11-24,70.01,71.32,70.66,71.32,382
2014-11-25,71.32,72.62,71.97,72.62,184
2014-11-30,72.62,73.28,73.28,73.28,21
2014-12-01,73.28,72.95,71.32,71.32,4426
2014-12-03,71.32,70.66,70.66,70.66,255
2014-12-04,70.66,71.64,70.99,71.64,473
2014-12-07,71.64,72.3,72.3,72.3,545
2014-12-09,72.3,72.95,72.62,72.62,352
2014-12-10,72.62,72.3,72.3,72.3,300
2014-12-15,72.3,73.6,71.64,73.6,234
2014-12-16,73.6,76.87,73.93,76.87,1645
2014-12-17,76.87,75.89,74.25,74.25,1135
2014-12-18,74.25,74.91,73.6,74.91,887
2014-12-21,74.91,74.25,74.25,74.25,510
2014-12-22,74.25,74.91,74.25,74.25,600
2014-12-23,74.25,74.25,74.25,74.25,46
2014-12-24,74.25,73.93,73.6,73.6,96
2014-12-29,73.6,74.25,73.6,74.25,196
2015-01-04,74.25,76.54,74.91,76.54,398
2015-01-06,76.54,76.54,75.56,76.54,1401
2015-01-07,76.54,75.56,74.58,74.58,426
2015-01-08,74.58,75.89,74.58,75.89,242
2015-01-11,75.89,76.87,76.87,76.87,287
2015-01-19,76.87,79.8,77.52,79.48,3889
2015-01-20,79.48,82.42,78.82,82.42,3126
2015-01-22,82.42,81.44,81.44,81.44,200
2015-01-26,81.44,80.78,80.46,80.46,265
2015-01-27,80.46,79.48,77.85,78.5,785
2015-01-28,78.5,78.5,78.5,78.5,500
2015-02-01,78.5,79.48,79.15,79.48,2508
2015-02-02,79.48,78.82,78.82,78.82,272
2015-02-03,78.82,83.07,79.8,83.07,1263
2015-02-04,83.07,82.09,80.46,80.78,3189
2015-02-05,80.78,80.46,79.8,80.46,477
2015-02-08,80.46,80.46,78.82,80.46,506
2015-02-09,80.46,80.13,79.48,80.13,290
2015-02-10,80.13,80.13,79.15,80.13,9465
2015-02-12,80.13,80.13,79.15,80.13,226
